CODIGO	X	Y	BIO6	BIO19	disthi	SWIslope	perc_a	SWIsoils	ppovfor	pagric	acadea
29TNF2493	524500.00309799900	4593500.00000999000	61	492	8944.27	0.134742	47.6332	1.01757	26.0172	60.1456	1
29TNF2589	525500.00309599900	4589500.00002000000	57	504	10630.1	0.0560015	0	0.647447	57.5961	31.5343	1
29TNF4294	542500.00306899900	4594500.00000999000	50	490	7615.77	0.580411	0	0.526908	22.8529	49.4719	1
29TNF4299	542500.00306999900	4599500.00000000000	50	493	3605.55	0.614536	0	0.592953	24.2974	44.0631	1
29TNF4999	549500.00305800000	4599500.00000000000	47	490	7211.1	0.412534	5.49714	0.830756	0	7.83924	0
29TNG1336	513500.00312100000	4636499.99993999000	69.4444	511.333	1414.21	0.0560015	0	0.636095	0	1.2092	0
29TNG1513	515500.00311500000	4613499.99997999000	65	510	2000	0	13.606	0.404963	92.3544	3.00827	1
29TNG1519	515500.00311500000	4619499.99997000000	56	563	2828.43	1.26873	0	0.692947	99.7282	0	1
29TNG1828	518500.00311200000	4628499.99995000000	64	524	9219.54	1.00927	0	1.06709	43.6406	2.81418	1
29TNG1911	519500.00310799900	4611499.99997999000	63	510	4472.14	0	8.6469	0.615543	40.1095	29.3506	0
29TNG1939	519500.00311100000	4639499.99992999000	64	543	4000	1.23117	0	0	16.8284	0	1
29TNG2308	523500.00310099900	4608499.99997999000	61	514	8544	0	0	0.727549	58.7863	10.0564	0
29TNG2309	523500.00310099900	4609499.99997999000	60	512	7615.77	0	0.17163	0.510014	57.5646	12.6005	0
29TNG2314	523500.00310199900	4614499.99997000000	59	528	3000	1.32101	0	0.683315	59.5745	22.4648	1
29TNG2334	523500.00310400000	4634499.99993999000	57	566	9433.98	1.45134	0	0	45.9883	27.2812	0
29TNG2342	523500.00310500000	4642499.99992999000	49	614	8544	1.21111	0	0.0560015	3.52525	0.912123	1
29TNG2401	524500.00309899900	4601500.00000000000	54	535	8944.27	0.643566	0	0.325083	92.3468	2.95033	0
29TNG2437	524500.00310300000	4637499.99993999000	60	548	9219.54	1.24485	0	1.01446	19.6831	28.6564	1
29TNG2527	525500.00309999900	4627499.99995000000	29	645	7071.07	1.63578	0	0	0	16.2273	1
29TNG2628	526500.00309899900	4628499.99995000000	45	601	7211.1	1.53956	0	0	0.329911	2.17266	0
29TNG2639	526500.00309999900	4639499.99992999000	56	568	11000	1.35118	0	0.892637	52.4996	5.19893	0
29TNG2640	526500.00309999900	4640499.99992999000	56	574	11045.4	0.845113	0	0.566741	9.22728	61.9105	1
29TNG3003	530500.00308900000	4603499.99999000000	56	507	6324.56	0.0560015	5.64451	0.226968	6.23493	72.069	0
29TNG3022	530500.00309100000	4622499.99995999000	63	491	0	0	74.5874	0.746289	2.80886	60.7141	1
29TNG3038	530500.00309300000	4638499.99993999000	57	550	13928.4	1.285	0	1.07832	19.1319	14.0695	1
29TNG3049	530500.00309400000	4649499.99992000000	66	508	18027.8	0.302538	5.42861	0.558872	17.5501	10.3552	1
29TNG3126	531500.00309000000	4626499.99995999000	61	510	3605.55	0.66604	3.78125	0.134742	19.5802	68.2887	1
29TNG3136	531500.00309100000	4636499.99993999000	52	571	11704.7	0.96336	0	0	33.6034	45.6835	1
29TNG3152	531500.00309300000	4652499.99990999000	63	532	19313.2	0.869528	0	0.772962	14.7529	43.9528	1
29TNG3212	532500.00308699900	4612499.99997999000	55	520	9219.54	0.738121	0	0.562335	65.7097	27.8539	1
29TNG3329	533500.00308699900	4629499.99995000000	60	508	4472.14	0.672253	0	0.72569	11.4124	14.5619	1
29TNG3402	534500.00308299900	4602500.00000000000	57	490	5099.02	0.167944	14.8844	0.43967	59.6584	26.8442	1
29TNG3412	534500.00308399900	4612499.99997999000	51	530	10630.1	0.198515	0	0	30.0888	42.3273	0
29TNG3442	534500.00308699900	4642499.99992999000	51	581	15297.1	1.09174	0	0.693147	33.5815	41.0575	1
29TNG3541	535500.00308499900	4641499.99992999000	48	584	14560.2	0.945754	0	0.641035	3.27679	59.8228	0
29TNG3551	535500.00308599900	4651499.99990999000	55	577	15231.5	0.948781	0	0.680292	11.1825	24.4918	1
29TNG3618	536500.00308099900	4618499.99997000000	57	501	6324.56	1.36202	0	0.647447	16.0453	48.3974	0
29TNG3638	536500.00308299900	4638499.99993999000	38	610	13038.4	0.709627	0	0.134742	15.5938	8.54926	0
29TNG3737	537500.00308199900	4637499.99993999000	38	606	12165.5	0.903918	0	0.253639	5.52982	41.0738	0
