CODIGO	X	Y	BIO6	BIO16	disturb	SWIslope	prego	psemnat	ppovfor	dredhi	rusacu
29TNF1899	518500.0031	4599500	63	499	44.9081	0	0	5.22829	5.22829	0.703351	0
29TNF1992	519500.0031	4592500	62	492	25.5858	0	0	11.6195	8.53228	0.945778	0
29TNF1993	519500.0031	4593500	62	494	242.39	0	0	8.30791	7.35009	0.142028	0
29TNF2092	520500.0031	4592500	62	492	269.583	0	0	5.78299	2.06203	0.0125573	0
29TNF2093	520500.0031	4593500	62	495	62.8497	0	0	2.18737	2.18737	0	0
29TNF2194	521500.0031	4594500	62	496	87.5124	0	0	0	0	0.407384	0
29TNF2197	521500.0031	4597500	60	505	228.037	0	0	62.4672	53.9873	0.972133	1
29TNF2198	521500.0031	4598500	60	508	38.6237	0.0980391	7.29411	13.9541	12.4256	0.853542	0
29TNF2294	522500.0031	4594500	62	491	224.535	0	0	14.9722	14.8268	1.38998	0
29TNF2393	523500.0031	4593500	61	493	110.23	0	0	16.6541	16.6541	0.438109	0
29TNF2394	523500.0031	4594500	62	490	168.846	0.226968	18.7975	30.6402	21.1314	0.768324	1
29TNF2591	525500.0031	4591500	61	490	113.281	0.455886	48.0491	22.3543	22.3543	1.59506	1
29TNF2689	526500.0031	4589500	56	503	244.808	0.626869	0	53.3041	43.3899	1.81692	0
29TNF2791	527500.0031	4591500	56	505	235.766	0	0	60.4746	56.9599	1.4289	0
29TNF2792	527500.0031	4592500	57	499	114.681	0.0560015	0	18.8498	18.7379	1.49062	0
29TNF2795	527500.0031	4595500	59	497	188.726	0	0	33.8992	32.954	0.706706	0
29TNF2987	529500.0031	4587500	56	497	334.314	0.167944	0	34.1962	33.3785	1.35956	0
29TNF3194	531500.0031	4594500	56	495	59.0741	0	6.39834	11.6446	10.3012	2.26019	0
29TNF3587	535500.0031	4587500	52	501	195.172	0.619101	64.9162	44.4798	44.4025	0.811254	1
29TNF3694	536500.0031	4594500	55	489	67.3976	0.486223	7.68826	9.22708	9.22708	1.6179	0
29TNF3799	537500.0031	4599500	58	475	271.321	0.0560015	0	12.2841	12.2841	8.4723	0
29TNF4398	543500.0031	4598500	49	497	56.2524	0.842095	17.9988	20.8538	13.6355	1.41902	0
29TNF4596	545500.0031	4596500	48	497	32.9338	0.253639	0.153652	4.05068	0.835569	2.36502	0
29TNG1705	517500.0031	4605500	63	507	346.449	0	0	10.3234	8.13075	1.31048	1
29TNG1722	517500.0031	4622500	60	546	93.9142	0.967133	51.2606	50.5332	50.5332	1.80131	1
29TNG1737	517500.0031	4637500	69	509	56.8727	0.953579	21.4344	12.8578	10.6696	4.1512	1
29TNG1815	518500.0031	4615500	66	505	406.538	0	0	38.0515	1.20704	20.8054	0
